CurveSurface,CurveType,Name,ID,Datum,Relative Curve,RiskMetrics Link,Term Interp,Time Interp,CurveUnit,Surface,
,,,,,,,,,,0,0.0016,
,Index,C01663B10_NASDAQ_AFSE_0,C01663B10_NASDAQ_AFSE_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.0301,
,Index,C01663C10_NASDAQ_PTPF_0,C01663C10_NASDAQ_PTPF_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.3175,
,Index,C01741R10_NYSE_ATI_0,C01741R10_NYSE_ATI_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,42.28,
,Index,C01748X10_NASDAQ_ALGT_0,C01748X10_NASDAQ_ALGT_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,126.59,
,Index,C01849010_NYSE_AGN_0,C01849010_NYSE_AGN_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,166.94,
,Index,C01852230_NYSE_ALE_0,C01852230_NYSE_ALE_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,48.3,
,Index,C01858110_NYSE_ADS_0,C01858110_NYSE_ADS_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,256.45,
,Index,C01858T10_NASDAQ_ACGX_0,C01858T10_NASDAQ_ACGX_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,0.0032,
,Index,C01860630_NASDAQ_AIQ_0,C01860630_NASDAQ_AIQ_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,27.61,
,Index,C01861G10_NASDAQ_AHGP_0,C01861G10_NASDAQ_AHGP_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,71.55,
,Index,C01877210_NYSE_AOI_0,C01877210_NYSE_AOI_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,2.13,
,Index,C01877R10_NASDAQ_ARLP_0,C01877R10_NASDAQ_ARLP_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,48.8,
,Index,C01879R10_NYSE_AWF_0,C01879R10_NYSE_AWF_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,13.94,
,Index,C01880210_NYSE_LNT_0,C01880210_NYSE_LNT_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,58.95,
,Index,C01880410_NYSE_ATK_0,C01880410_NYSE_ATK_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,126.42,
,Index,C01881G10_NYSE_AB_0,C01881G10_NYSE_AB_0,0,TRUE,None,Constant,Constant,% ANNU actual/360,Term,0,
,,,,,,,,,,0,26.7,
