TripleID, SpotPrice
C13123X10_NYSE_CPE,9.3
C13134730_NYSE_CPN,23.8
C13147610_NASDAQ_CLMT,28.31
C13169Q10_NASDAQ_CALW,1.2
C13174510_AMEX_CAK,0.6602
C13201110_NYSE_CBM,22.65
C13321L10_NYSE_CCJ,18.93
C13342B10_NYSE_CAM,70.47
C13466Y10_NYSE_CCG,8.1
C13470510_NASDAQ_CCRE,0.05
C13606910_NYSE_CM,96.55
C13637510_NYSE_CNI,73.5
C13638510_NYSE_CNQ,40.75
C13645T10_NYSE_CP,205.7
C13663510_NASDAQ_CSIQ,39.31
C13739U10_NASDAQ_CGIX,8.82
C13764810_NASDAQ_CBIS,0.07
C13765310_NASDAQ_CANV,3.02
C13800630_NYSE_CAJ,32.96
C13876350_NASDAQ_CNYCD,0.054995
C13959410_NASDAQ_CPLA,63.03
C14040H10_NYSE_COF,82.08
C14047510_NYSE_CSU,22.45
C14067D10_NASDAQ_CPST,1.22
C14067E50_NYSE_CMO,13.27
C14070F10_NASDAQ_CAPC,0.0419
C14070G10_NASDAQ_ROKO,1.24
C14074Y20_NASDAQ_CCGI,0.7
C14078110_NYSE_CRR,101.58
C14115L20_NASDAQ_CABN,0.0022
C14133710_NASDAQ_CARB,11.39
C14141R10_NASDAQ_CRDC,1.08
C14149Y10_NYSE_CAH,75.41
C14159U30_NASDAQ_CRME,6.77
C14160X20_NASDAQ_CGNH,0.1378
C14161H10_NASDAQ_CATM,35.01
C14170T10_NYSE_CFN,46.05
C14174310_NASDAQ_CRVW,0.5
C14233910_NYSE_CSL,83.58
C14309L10_NASDAQ_CG,31.79
C14313010_NYSE_KMX,52.84
C14343640_NASDAQ_CKEC,33.11
C14365830_NYSE_CCL,39.12
C14365C10_NYSE_CUK,38.82
C14428510_NYSE_CRS,53.36
C14574X10_NASDAQ_TAST,7.22
C14622910_NYSE_CRI,81.48
C14712T10_NASDAQ_CUAU,0.027
C14715420_NASDAQ_CACB,5.15
C14744810_NASDAQ_CWST,4.42
C14752810_NASDAQ_CASY,70.5
C14754D10_NYSE_CSH,43.56
C14841110_NYSE_CAS,9.83
C14862Q10_NYSE_CSLT,12.75
C14888710_NASDAQ_CTRX,48.92
C14888U10_NASDAQ_CPRX,3.34
C14890630_NASDAQ_CPCAY,9.264
C14912310_NYSE_CAT,107.91
C14920510_NYSE_CATO,34.97
C14964U10_NASDAQ_CAVM,54.08
C14964W10_NASDAQ_CVAT,0.071
C15018510_NYSE_FUN,47.47
C15060220_NYSE_CDR,6.36
C15083810_NYSE_CGI,20.86
C15087010_NYSE_CE,62.28
C15102010_NASDAQ_CELG,94.03
